n u uR uL e
247.0 296.175356651 113.0 -113.0 -223.0
248.0 405.245851594 125.0 -125.0 -172.0
249.0 475.625244828 129.0 -129.0 -101.0
250.0 500.0 120.0 -120.0 8.0
251.0 475.431083737 93.0 -93.0 121.0
252.0 403.768587685 56.0 -56.0 184.0
253.0 291.60049771 21.0 -21.0 254.0
254.0 149.720238632 -20.0 20.0 248.0
255.0 -7.85365865592 -51.0 51.0 254.0
256.0 -165.224251086 -83.0 83.0 251.0
257.0 -306.205231833 -111.0 111.0 218.0
258.0 -415.996427776 -126.0 126.0 166.0
259.0 -482.772669908 -129.0 129.0 97.0
260.0 -499.013364214 -119.0 119.0 -17.0
261.0 -462.419201002 -89.0 89.0 -125.0
262.0 -376.299410177 -50.0 50.0 -225.0
263.0 -249.364901777 -4.0 4.0 -269.0
264.0 -94.924738657 34.0 -34.0 -266.0
265.0 70.4506159688 67.0 -67.0 -269.0
266.0 228.673140569 99.0 -99.0 -233.0
267.0 362.1100021 119.0 -119.0 -215.0
268.0 455.572267326 134.0 -134.0 -130.0
269.0 498.094305523 125.0 -125.0 -63.0
270.0 484.291580564 109.0 -109.0 53.0
271.0 415.122919998 72.0 -72.0 139.0
272.0 297.944269636 31.0 -31.0 226.0
273.0 145.818614626 -16.0 16.0 248.0
274.0 -23.8670311943 -54.0 54.0 251.0
275.0 -191.341716183 -88.0 88.0 254.0
276.0 -336.738552277 -118.0 118.0 226.0
277.0 -442.469436786 -133.0 133.0 165.0
278.0 -495.402300979 -132.0 132.0 53.0
279.0 -488.567361338 -108.0 108.0 -35.0
280.0 -422.163962751 -77.0 77.0 -140.0
281.0 -303.715649423 -32.0 32.0 -222.0
282.0 -147.320404807 14.0 -14.0 -269.0
283.0 27.945604586 59.0 -59.0 -262.0
284.0 200.302456846 92.0 -92.0 -269.0
285.0 347.956398296 123.0 -123.0 -236.0
286.0 451.877047914 137.0 -137.0 -172.0
287.0 498.307233205 134.0 -134.0 -63.0
288.0 480.669315464 108.0 -108.0 53.0
289.0 400.595575946 69.0 -69.0 166.0
290.0 267.91339749 20.0 -20.0 218.0
291.0 99.5471400235 -23.0 23.0 254.0
292.0 -82.5582305914 -67.0 67.0 254.0
293.0 -254.25024757 -101.0 101.0 248.0
294.0 -392.366549941 -128.0 128.0 223.0
