n u uR uL e
1153.0 -181.430466354 -37.0 37.0 8.0
1154.0 440.552716576 86.0 -86.0 -35.0
1155.0 287.502626022 64.0 -64.0 -63.0
1156.0 -372.132460455 -61.0 61.0 -17.0
1157.0 -375.263218018 -71.0 71.0 8.0
1158.0 284.668459263 55.0 -55.0 6.0
1159.0 440.997650147 86.0 -86.0 -64.0
1160.0 -184.062276342 -24.0 24.0 -35.0
1161.0 -482.608778367 -89.0 89.0 4.0
1162.0 76.3549324492 14.0 -14.0 10.0
1163.0 499.530181729 97.0 -97.0 -63.0
1164.0 32.6493166648 19.0 -19.0 -66.0
1165.0 -492.554663077 -85.0 85.0 8.0
1166.0 -137.684455084 -29.0 29.0 10.0
1167.0 463.605002391 90.0 -90.0 -35.0
1168.0 234.24250409 53.0 -53.0 -63.0
1169.0 -415.472815244 -70.0 70.0 -16.0
1170.0 -318.711994874 -60.0 60.0 8.0
1171.0 351.548451062 68.0 -68.0 -17.0
1172.0 388.441142088 81.0 -81.0 -63.0
1173.0 -275.560847418 -42.0 42.0 -36.0
1174.0 -441.735723343 -81.0 81.0 4.0
1175.0 191.341716183 37.0 -37.0 10.0
1176.0 477.80403758 93.0 -93.0 -63.0
1177.0 -102.623853829 -7.0 7.0 -41.0
1178.0 -496.662266846 -91.0 91.0 8.0
1179.0 12.8791052713 0.0 0.0 8.0
1180.0 499.013364214 98.0 -98.0 -36.0
1181.0 74.8021856483 22.0 -22.0 -64.0
1182.0 -486.111525211 -84.0 84.0 -16.0
1183.0 -157.791396068 -28.0 28.0 8.0
1184.0 459.622656375 90.0 -90.0 -17.0
1185.0 233.96490713 50.0 -50.0 -61.0
1186.0 -421.489290342 -72.0 72.0 -16.0
1187.0 -301.715345836 -57.0 57.0 8.0
1188.0 373.806329085 73.0 -73.0 -17.0
1189.0 359.936523754 75.0 -75.0 -63.0
1190.0 -318.711994874 -51.0 51.0 -39.0
1191.0 -407.988094985 -73.0 73.0 8.0
1192.0 258.296553164 50.0 -50.0 -16.0
1193.0 445.645799468 92.0 -92.0 -66.0
1194.0 -194.529819159 -25.0 25.0 -38.0
1195.0 -473.042679414 -87.0 87.0 8.0
1196.0 129.207208172 24.0 -24.0 -14.0
1197.0 490.605967247 100.0 -100.0 -63.0
1198.0 -63.9131456544 0.0 0.0 -61.0
1199.0 -498.993539491 -87.0 87.0 10.0
1200.0 -1.76349139077e-11 -2.0 2.0 8.0
1201.0 499.032991935 98.0 -98.0 -34.0
1202.0 61.4196920736 19.0 -19.0 -63.0
1203.0 -491.66557797 -85.0 85.0 -17.0
1204.0 -119.470112208 -20.0 20.0 8.0
1205.0 477.896507399 93.0 -93.0 -34.0
1206.0 173.500563864 41.0 -41.0 -66.0
1207.0 -458.752454582 -78.0 78.0 -17.0
1208.0 -223.067666909 -41.0 41.0 8.0
1209.0 435.246586301 85.0 -85.0 -21.0
1210.0 267.913397489 57.0 -57.0 -63.0
1211.0 -408.350994593 -69.0 69.0 -14.0
1212.0 -307.940752716 -58.0 58.0 30.0
1213.0 378.976103206 69.0 -69.0 -17.0
1214.0 343.188520001 72.0 -72.0 -63.0
1215.0 -347.956398296 -56.0 56.0 -36.0
1216.0 -373.806329085 -67.0 67.0 8.0
1217.0 316.041701228 61.0 -61.0 -14.0
1218.0 400.030877882 82.0 -82.0 -62.0
1219.0 -283.893138955 -44.0 44.0 -38.0
1220.0 -422.163962751 -76.0 76.0 -15.0
1221.0 252.082960641 53.0 -53.0 -14.0
1222.0 440.552716576 90.0 -90.0 -84.0
1223.0 -221.09738375 -27.0 27.0 -63.0
1224.0 -455.572267326 -78.0 78.0 -16.0
1225.0 191.341716182 41.0 -41.0 -19.0
1226.0 467.6108757 97.0 -97.0 -83.0
1227.0 -163.147082263 -16.0 16.0 -61.0
1228.0 -477.057491445 -83.0 83.0 -16.0
1229.0 136.778170706 30.0 -30.0 8.0
1230.0 484.291580564 95.0 -95.0 -62.0
1231.0 -112.441514966 -10.0 10.0 -61.0
1232.0 -489.675016169 -85.0 85.0 -17.0
1233.0 90.2939055265 21.0 -21.0 -16.0
1234.0 493.545789667 101.0 -101.0 -63.0
1235.0 -70.4506159688 -1.0 1.0 -63.0
1236.0 -496.213282194 -86.0 86.0 -17.0
1237.0 52.9931978303 13.0 -13.0 -16.0
1238.0 497.954834588 102.0 -102.0 -39.0
1239.0 -37.9766620164 0.0 0.0 -64.0
1240.0 -499.013364214 -87.0 87.0 -16.0
1241.0 25.4359165789 8.0 -8.0 6.0
1242.0 499.595795476 98.0 -98.0 -38.0
1243.0 -15.3913722128 4.0 -4.0 -61.0
1244.0 -499.872095381 -87.0 87.0 -16.0
1245.0 7.85365865593 4.0 -4.0 8.0
1246.0 499.974734026 98.0 -98.0 -63.0
1247.0 -2.82741831924 12.0 -12.0 -63.0
1248.0 -499.998420864 -87.0 87.0 -17.0
1249.0 0.314159244668 3.0 -3.0 -16.0
1250.0 500.0 103.0 -103.0 -63.0
1251.0 -0.314159244606 12.0 -12.0 -66.0
1252.0 -499.998420864 -86.0 86.0 -17.0
1253.0 2.82741831933 3.0 -3.0 8.0
1254.0 499.974734026 98.0 -98.0 -39.0
1255.0 -7.85365865596 6.0 -6.0 -63.0
1256.0 -499.872095381 -87.0 87.0 -14.0
1257.0 15.3913722128 5.0 -5.0 6.0
1258.0 499.595795476 98.0 -98.0 -35.0
1259.0 -25.4359165789 1.0 -1.0 -63.0
1260.0 -499.013364214 -87.0 87.0 8.0
1261.0 37.9766620164 5.0 -5.0 8.0
1262.0 497.954834588 97.0 -97.0 -16.0
1263.0 -52.9931978302 -7.0 7.0 -63.0
1264.0 -496.213282194 -86.0 86.0 8.0
1265.0 70.4506159688 12.0 -12.0 8.0
1266.0 493.545789667 97.0 -97.0 -14.0
1267.0 -90.2939055264 -15.0 15.0 -66.0
1268.0 -489.675016169 -84.0 84.0 8.0
1269.0 112.441514966 20.0 -20.0 8.0
1270.0 484.291580564 95.0 -95.0 -39.0
1271.0 -136.778170706 -19.0 19.0 -63.0
1272.0 -477.057491445 -82.0 82.0 8.0
1273.0 163.147082263 31.0 -31.0 4.0
1274.0 467.6108757 92.0 -92.0 -38.0
1275.0 -191.341716183 -30.0 30.0 -63.0
1276.0 -455.572267326 -78.0 78.0 8.0
1277.0 221.09738375 42.0 -42.0 8.0
1278.0 440.552716576 86.0 -86.0 -61.0
1279.0 -252.082960641 -38.0 38.0 -36.0
1280.0 -422.163962751 -77.0 77.0 8.0
1281.0 283.893138955 55.0 -55.0 8.0
1282.0 400.030877882 78.0 -78.0 -63.0
1283.0 -316.041701228 -50.0 50.0 -35.0
1284.0 -373.806329085 -67.0 67.0 8.0
1285.0 347.956398296 67.0 -67.0 -16.0
1286.0 343.188520001 71.0 -71.0 -39.0
1287.0 -378.976103206 -67.0 67.0 -38.0
1288.0 -307.940752716 -53.0 53.0 8.0
1289.0 408.350994593 80.0 -80.0 -19.0
1290.0 267.913397489 57.0 -57.0 -37.0
1291.0 -435.246586301 -79.0 79.0 -16.0
1292.0 -223.067666909 -41.0 41.0 8.0
1293.0 458.752454582 90.0 -90.0 -38.0
1294.0 173.500563864 42.0 -42.0 -63.0
1295.0 -477.896507399 -82.0 82.0 -16.0
1296.0 -119.470112208 -20.0 20.0 8.0
1297.0 491.66557797 96.0 -96.0 -35.0
1298.0 61.4196920736 19.0 -19.0 -63.0
1299.0 -499.032991935 -87.0 87.0 -17.0
1300.0 -2.93296251159e-12 3.0 -3.0 8.0
1301.0 498.993539491 98.0 -98.0 -36.0
1302.0 -63.9131456543 -5.0 5.0 -39.0
1303.0 -490.605967247 -90.0 90.0 8.0
1304.0 129.207208172 24.0 -24.0 8.0
1305.0 473.042679414 93.0 -93.0 -19.0
1306.0 -194.529819159 -35.0 35.0 -38.0
1307.0 -445.645799468 -81.0 81.0 8.0
1308.0 258.296553164 50.0 -50.0 -14.0
1309.0 407.988094985 84.0 -84.0 -38.0
1310.0 -318.711994874 -56.0 56.0 -36.0
1311.0 -359.936523754 -64.0 64.0 8.0
1312.0 373.806329085 73.0 -73.0 8.0
1313.0 301.715345836 58.0 -58.0 -36.0
1314.0 -421.489290342 -77.0 77.0 -16.0
1315.0 -233.96490713 -43.0 43.0 8.0
1316.0 459.622656375 90.0 -90.0 -17.0
1317.0 157.791396068 34.0 -34.0 -63.0
1318.0 -486.111525211 -84.0 84.0 -19.0
1319.0 -74.8021856484 -11.0 11.0 8.0
1320.0 499.013364214 98.0 -98.0 -36.0
1321.0 -12.8791052713 4.0 -4.0 -41.0
1322.0 -496.662266846 -91.0 91.0 8.0
1323.0 102.623853829 18.0 -18.0 10.0
1324.0 477.80403758 93.0 -93.0 -35.0
1325.0 -191.341716183 -31.0 31.0 -35.0
1326.0 -441.735723343 -81.0 81.0 -14.0
1327.0 275.560847418 57.0 -57.0 -16.0
1328.0 388.441142088 80.0 -80.0 -38.0
1329.0 -351.548451062 -62.0 62.0 -35.0
1330.0 -318.711994874 -56.0 56.0 8.0
1331.0 415.472815244 81.0 -81.0 -17.0
1332.0 234.24250409 50.0 -50.0 -65.0
1333.0 -463.605002391 -79.0 79.0 -16.0
1334.0 -137.684455084 -24.0 24.0 6.0
1335.0 492.554663077 97.0 -97.0 -38.0
1336.0 32.6493166648 14.0 -14.0 -35.0
1337.0 -499.530181729 -92.0 92.0 6.0
1338.0 76.3549324491 14.0 -14.0 8.0
1339.0 482.608778367 94.0 -94.0 -36.0
1340.0 -184.062276342 -29.0 29.0 -36.0
1341.0 -440.997650147 -80.0 80.0 8.0
1342.0 284.668459263 55.0 -55.0 8.0
1343.0 375.263218018 73.0 -73.0 -35.0
1344.0 -372.132460455 -67.0 67.0 -38.0
1345.0 -287.502626022 -49.0 49.0 8.0
1346.0 440.552716576 86.0 -86.0 -14.0
1347.0 181.430466354 39.0 -39.0 -39.0
1348.0 -484.60256364 -89.0 89.0 -15.0
1349.0 -62.354922407 -9.0 9.0 8.0
1350.0 500.0 98.0 -98.0 -39.0
1351.0 -62.9782864175 -4.0 4.0 -38.0
1352.0 -483.97753844 -89.0 89.0 8.0
1353.0 186.688200492 35.0 -35.0 6.0
1354.0 435.709681983 85.0 -85.0 -35.0
1355.0 -300.210112663 -53.0 53.0 -63.0
1356.0 -356.649690057 -58.0 58.0 8.0
1357.0 394.884877786 77.0 -77.0 -17.0
1358.0 250.725168487 53.0 -53.0 -61.0
1359.0 -462.65782323 -80.0 80.0 -16.0
1360.0 -124.344943582 -21.0 21.0 8.0
1361.0 496.841012071 97.0 -97.0 -16.0
1362.0 -13.8212469174 0.0 0.0 -34.0
1363.0 -492.875240883 -91.0 91.0 8.0
1364.0 153.3128776 29.0 -29.0 8.0
1365.0 449.01378788 88.0 -88.0 -35.0
1366.0 -282.598698275 -49.0 49.0 -19.0
1367.0 -366.841214382 -69.0 69.0 8.0
1368.0 390.018700883 76.0 -76.0 8.0
1369.0 251.540141584 48.0 -48.0 -39.0
1370.0 -464.888242944 -85.0 85.0 -17.0
1371.0 -111.829201714 -18.0 18.0 10.0
1372.0 498.672533837 97.0 -97.0 -16.0
1373.0 -40.4821859163 -4.0 4.0 -38.0
1374.0 -486.111525211 -89.0 89.0 -16.0
1375.0 191.341716183 41.0 -41.0 8.0
1376.0 426.15585027 83.0 -83.0 -35.0
1377.0 -325.67855191 -58.0 58.0 -16.0
1378.0 -322.568846488 -61.0 61.0 8.0
1379.0 428.924859398 84.0 -84.0 8.0
1380.0 184.062276342 35.0 -35.0 -38.0
1381.0 -488.700569325 -90.0 90.0 -16.0
1382.0 -23.8670311942 -1.0 1.0 4.0
1383.0 496.478619765 98.0 -98.0 -35.0
1384.0 -141.304668415 -21.0 21.0 -36.0
1385.0 -449.01378788 -82.0 82.0 4.0
1386.0 292.875058285 57.0 -57.0 8.0
1387.0 349.307558655 68.0 -68.0 -34.0
1388.0 -412.477848779 -75.0 75.0 -16.0
1389.0 -206.901831395 -38.0 38.0 8.0
1390.0 484.291580564 95.0 -95.0 -16.0
1391.0 37.3501286426 10.0 -10.0 -14.0
1392.0 -497.34781921 -96.0 96.0 8.0
1393.0 139.193840345 26.0 -26.0 8.0
1394.0 447.482754953 87.0 -87.0 -36.0
1395.0 -300.210112663 -52.0 52.0 -17.0
1396.0 -338.592122959 -64.0 64.0 10.0
1397.0 423.672219387 82.0 -82.0 8.0
1398.0 182.893304663 34.0 -34.0 -19.0
1399.0 -491.202395989 -94.0 94.0 -15.0
1400.0 -6.66356414089e-11 2.0 -2.0 8.0
1401.0 491.084660844 96.0 -96.0 -39.0
1402.0 -185.230085384 -29.0 29.0 -17.0
1403.0 -420.642206395 -80.0 80.0 8.0
1404.0 345.92039147 67.0 -67.0 8.0
1405.0 287.502626022 55.0 -55.0 -35.0
1406.0 -457.112834394 -84.0 84.0 -14.0
1407.0 -109.378192441 -19.0 19.0 8.0
1408.0 499.872095381 98.0 -98.0 -38.0
1409.0 -87.8208222012 -9.0 9.0 -14.0
1410.0 -464.888242944 -90.0 90.0 8.0
1411.0 273.460236617 53.0 -53.0 8.0
1412.0 354.883739929 69.0 -69.0 -35.0
1413.0 -416.865829836 -76.0 76.0 -16.0
1414.0 -185.230085385 -33.0 33.0 6.0
1415.0 492.554663077 97.0 -97.0 -38.0
1416.0 -17.5892889526 4.0 -4.0 -14.0
1417.0 -485.139417289 -94.0 94.0 6.0
1418.0 219.687417843 42.0 -42.0 8.0
1419.0 392.950032155 76.0 -76.0 -35.0
1420.0 -385.256621388 -70.0 70.0 -17.0
1421.0 -229.510868676 -42.0 42.0 8.0
1422.0 483.017077707 95.0 -95.0 -16.0
1423.0 22.2979102516 7.0 -7.0 -36.0
1424.0 -492.500552735 -91.0 91.0 8.0
1425.0 191.341716183 36.0 -36.0 8.0
1426.0 408.894134749 80.0 -80.0 -34.0
1427.0 -370.660111088 -67.0 67.0 -17.0
1428.0 -245.269388685 -45.0 45.0 8.0
1429.0 479.350341343 94.0 -94.0 -16.0
1430.0 31.3952597646 9.0 -9.0 -39.0
1431.0 -493.291780753 -90.0 90.0 8.0
1432.0 191.051433117 36.0 -36.0 8.0
1433.0 406.530059608 79.0 -79.0 -39.0
1434.0 -376.299410177 -67.0 67.0 -17.0
1435.0 -233.96490713 -43.0 43.0 8.0
1436.0 483.97753844 95.0 -95.0 -16.0
1437.0 9.73832143244 5.0 -5.0 -35.0
1438.0 -488.366102834 -90.0 90.0 8.0
1439.0 218.840396658 42.0 -42.0 8.0
1440.0 385.256621388 75.0 -75.0 -37.0
1441.0 -400.971250702 -72.0 72.0 -16.0
1442.0 -194.529819159 -35.0 35.0 8.0
1443.0 493.794927483 97.0 -97.0 -41.0
1444.0 -42.6736824527 0.0 0.0 -35.0
1445.0 -473.042679414 -87.0 87.0 8.0
1446.0 272.143842869 52.0 -52.0 6.0
1447.0 340.206981198 66.0 -66.0 -38.0
1448.0 -438.757345099 -80.0 80.0 -16.0
1449.0 -124.040629683 -21.0 21.0 6.0
1450.0 500.0 98.0 -98.0 -35.0
1451.0 -124.649208392 -17.0 17.0 -36.0
1452.0 -437.546567331 -80.0 80.0 8.0
1453.0 344.329179701 67.0 -67.0 8.0
1454.0 263.655875738 51.0 -51.0 -16.0
1455.0 -477.896507399 -92.0 92.0 -14.0
1456.0 -20.1007746814 -1.0 1.0 8.0
1457.0 488.026816366 96.0 -96.0 -14.0
1458.0 -230.905268574 -43.0 43.0 -16.0
1459.0 -368.544323845 -70.0 70.0 8.0
1460.0 422.163962751 82.0 -82.0 8.0
1461.0 148.220781948 28.0 -28.0 -16.0
1462.0 -499.690521137 -96.0 96.0 -19.0
1463.0 114.888982707 26.0 -26.0 8.0
1464.0 438.757345099 86.0 -86.0 -16.0
1465.0 -347.956398296 -66.0 66.0 -19.0
1466.0 -252.89644257 -46.0 46.0 30.0
1467.0 483.420609863 90.0 -90.0 -16.0
1468.0 -7.539536618 1.0 -1.0 -16.0
1469.0 -479.17125847 -92.0 92.0 30.0
1470.0 267.91339749 47.0 -47.0 30.0
1471.0 332.771523678 60.0 -60.0 -16.0
1472.0 -450.250500794 -86.0 86.0 -17.0
1473.0 -84.7263550547 -13.0 13.0 30.0
1474.0 496.945905579 93.0 -93.0 -16.0
1475.0 -191.341716183 -35.0 35.0 -17.0
1476.0 -390.018700883 -74.0 74.0 8.0
1477.0 409.796138892 80.0 -80.0 8.0
1478.0 159.281140512 30.0 -30.0 -21.0
1479.0 -499.656478414 -95.0 95.0 -17.0
1480.0 124.344943582 28.0 -28.0 30.0
1481.0 428.601627527 79.0 -79.0 -19.0
1482.0 -369.604041388 -70.0 70.0 -17.0
1483.0 -216.011393981 -39.0 39.0 8.0
1484.0 494.135532309 97.0 -97.0 -16.0
1485.0 -70.4506159688 -10.0 10.0 -17.0
1486.0 -452.947146863 -87.0 87.0 -16.0
1487.0 335.109697039 70.0 -70.0 30.0
1488.0 256.141355878 45.0 -45.0 -17.0
1489.0 -485.890068907 -93.0 93.0 -14.0
1490.0 31.3952597647 9.0 -9.0 8.0
1491.0 467.052408927 91.0 -91.0 -15.0
1492.0 -309.916909005 -58.0 58.0 -17.0
1493.0 -281.301468459 -52.0 52.0 8.0
1494.0 478.901215481 94.0 -94.0 -19.0
1495.0 -7.85365865593 2.0 -2.0 -15.0
1496.0 -473.950966111 -91.0 91.0 -14.0
1497.0 296.175356651 62.0 -62.0 4.0
1498.0 292.875058285 57.0 -57.0 -17.0
1499.0 -475.625244828 -91.0 91.0 -16.0
1500.0 -3.82126940172e-11 3.0 -3.0 8.0
1501.0 475.431083737 93.0 -93.0 -17.0
1502.0 -294.908337622 -55.0 55.0 -14.0
1503.0 -291.60049771 -55.0 55.0 -16.0
1504.0 477.057491445 98.0 -98.0 -15.0
1505.0 -7.85365865601 1.0 -1.0 -16.0
1506.0 -471.91201177 -91.0 91.0 -16.0
1507.0 306.205231833 64.0 -64.0 8.0
1508.0 277.393172371 53.0 -53.0 -17.0
1509.0 -482.772669908 -93.0 93.0 -16.0
1510.0 31.3952597646 9.0 -9.0 6.0
1511.0 462.419201002 91.0 -91.0 -17.0
1512.0 -329.239660279 -62.0 62.0 -14.0
1513.0 -249.364901777 -47.0 47.0 28.0
1514.0 490.906604143 92.0 -92.0 -15.0
1515.0 -70.4506159687 -11.0 11.0 -16.0
1516.0 -444.644346396 -85.0 85.0 -14.0
1517.0 362.1100021 75.0 -75.0 8.0
1518.0 206.043464453 39.0 -39.0 -16.0
1519.0 -498.094305523 -96.0 96.0 5.0
1520.0 124.344943582 23.0 -23.0 30.0
1521.0 415.122919998 77.0 -77.0 -16.0
1522.0 -401.533575422 -77.0 77.0 -17.0
1523.0 -145.818614625 -25.0 25.0 30.0
1524.0 499.430039968 93.0 -93.0 -17.0
1525.0 -191.341716183 -34.0 34.0 -16.0
1526.0 -369.604041388 -70.0 70.0 4.0
1527.0 442.469436786 87.0 -87.0 8.0
1528.0 67.6502785275 11.0 -11.0 -14.0
1529.0 -488.567361338 -94.0 94.0 -19.0
1530.0 267.91339749 57.0 -57.0 30.0
1531.0 303.715649423 54.0 -54.0 -16.0
1532.0 -477.80403758 -92.0 92.0 -16.0
1533.0 27.945604586 8.0 -8.0 8.0
1534.0 458.125447647 90.0 -90.0 -16.0
1535.0 -347.956398296 -66.0 66.0 -14.0
1536.0 -214.026011431 -40.0 40.0 8.0
1537.0 498.307233205 98.0 -98.0 6.0
1538.0 -137.684455084 -28.0 28.0 -16.0
1539.0 -400.595575946 -76.0 76.0 8.0
1540.0 422.163962751 82.0 -82.0 -15.0
1541.0 99.5471400235 22.0 -22.0 -14.0
1542.0 -493.137038319 -95.0 95.0 -21.0
1543.0 254.25024757 55.0 -55.0 8.0
1544.0 309.916909006 60.0 -60.0 -14.0
1545.0 -477.896507399 -92.0 92.0 -19.0
1546.0 36.4102183017 11.0 -11.0 8.0
1547.0 451.202436552 88.0 -88.0 -16.0
1548.0 -365.343388928 -69.0 69.0 -17.0
1549.0 -183.770142131 -33.0 33.0 8.0
1550.0 500.0 98.0 -98.0 -16.0
1551.0 -184.354337888 -33.0 33.0 -16.0
1552.0 -363.622936212 -69.0 69.0 8.0
1553.0 453.61014889 89.0 -89.0 -16.0
1554.0 26.3771283002 8.0 -8.0 -16.0
1555.0 -473.042679414 -91.0 91.0 -17.0
1556.0 327.344021798 68.0 -68.0 5.0
1557.0 227.275122999 44.0 -44.0 -17.0
1558.0 -498.175628495 -96.0 96.0 -19.0
1559.0 148.820740996 33.0 -33.0 30.0
1560.0 385.256621388 71.0 -71.0 -14.0
1561.0 -441.293402131 -85.0 85.0 -19.0
1562.0 -48.9304079347 -5.0 5.0 8.0
1563.0 478.447363058 94.0 -94.0 -14.0
1564.0 -317.742733817 -60.0 60.0 -14.0
1565.0 -233.96490713 -43.0 43.0 8.0
1566.0 497.954834588 97.0 -97.0 6.0
1567.0 -151.218217638 -31.0 31.0 -16.0
1568.0 -380.406937859 -72.0 72.0 8.0
1569.0 447.061487589 87.0 -87.0 6.0
1570.0 31.3952597646 5.0 -5.0 -14.0
1571.0 -471.39061654 -91.0 91.0 8.0
1572.0 338.592122959 66.0 -66.0 -17.0
1573.0 204.611227536 44.0 -44.0 -16.0
1574.0 -499.943152156 -96.0 96.0 -21.0
1575.0 191.341716183 42.0 -42.0 8.0
1576.0 347.730723597 67.0 -67.0 -16.0
1577.0 -468.164727343 -90.0 90.0 -19.0
1578.0 26.3771283003 9.0 -9.0 8.0
1579.0 446.779760124 87.0 -87.0 -16.0
1580.0 -385.256621388 -73.0 73.0 -16.0
1581.0 -136.173710933 -24.0 24.0 8.0
1582.0 495.055996571 97.0 -97.0 -16.0
1583.0 -264.989233934 -49.0 49.0 -16.0
1584.0 -279.480685353 -52.0 52.0 30.0
1585.0 492.554663077 92.0 -92.0 8.0
1586.0 -123.127394651 -26.0 26.0 -16.0
1587.0 -391.390982608 -75.0 75.0 30.0
1588.0 444.644346396 82.0 -82.0 30.0
1589.0 24.808391683 -1.0 1.0 -16.0
1590.0 -464.888242944 -89.0 89.0 6.0
1591.0 360.372358951 70.0 -70.0 8.0
1592.0 165.224251086 31.0 -31.0 -16.0
1593.0 -497.81044904 -96.0 96.0 4.0
1594.0 250.725168487 49.0 -49.0 8.0
1595.0 287.502626022 55.0 -55.0 -14.0
1596.0 -492.060672273 -95.0 95.0 -16.0
1597.0 127.08154524 28.0 -28.0 8.0
1598.0 384.454394877 75.0 -75.0 -14.0
1599.0 -452.547199431 -87.0 87.0 -16.0
1600.0 -3.13509580582e-11 3.0 -3.0 8.0
1601.0 452.27967443 88.0 -88.0 -16.0
1602.0 -386.056414409 -74.0 74.0 -14.0
1603.0 -121.604365693 -21.0 21.0 8.0
1604.0 490.176941567 96.0 -96.0 -17.0
1605.0 -300.210112663 -56.0 56.0 -14.0
1606.0 -230.905268574 -43.0 43.0 4.0
1607.0 499.743313555 99.0 -99.0 8.0
1608.0 -202.60270638 -42.0 42.0 -14.0
1609.0 -323.288388559 -61.0 61.0 6.0
1610.0 484.291580564 95.0 -95.0 8.0
1611.0 -100.16280107 -21.0 21.0 -16.0
1612.0 -396.229998567 -76.0 76.0 30.0
1613.0 448.181333306 83.0 -83.0 8.0
1614.0 1.25663573846 -1.0 1.0 -16.0
1615.0 -449.01378788 -86.0 86.0 8.0
1616.0 396.229998567 77.0 -77.0 8.0
1617.0 97.0829335787 17.0 -17.0 -16.0
1618.0 -482.361512189 -93.0 93.0 8.0
1619.0 333.240212291 65.0 -65.0 8.0
1620.0 184.062276342 35.0 -35.0 -17.0
1621.0 -498.039106992 -96.0 96.0 8.0
1622.0 263.655875738 51.0 -51.0 6.0
1623.0 260.176999159 50.0 -50.0 -17.0
1624.0 -498.483217125 -96.0 96.0 8.0
1625.0 191.341716182 36.0 -36.0 6.0
1626.0 324.485071503 63.0 -63.0 -15.0
1627.0 -486.476780482 -94.0 94.0 -16.0
1628.0 119.470112208 27.0 -27.0 -16.0
1629.0 376.919343441 78.0 -78.0 -15.0
1630.0 -464.888242944 -89.0 89.0 -16.0
1631.0 50.4934205801 13.0 -13.0 8.0
1632.0 418.076078787 82.0 -82.0 -17.0
1633.0 -436.478067086 -83.0 83.0 -16.0
1634.0 -13.8212469173 0.0 0.0 30.0
1635.0 449.01378788 83.0 -83.0 8.0
1636.0 -403.768587685 -82.0 82.0 8.0
1637.0 -72.3162615488 -16.0 16.0 30.0
1638.0 471.075545902 88.0 -88.0 -19.0
1639.0 -368.968647934 -69.0 69.0 8.0
1640.0 -124.344943583 -26.0 26.0 8.0
1641.0 485.741472215 95.0 -95.0 -19.0
1642.0 -333.942258296 -62.0 62.0 8.0
1643.0 -169.664513082 -35.0 35.0 8.0
1644.0 494.513089998 97.0 -97.0 6.0
1645.0 -300.210112663 -61.0 61.0 8.0
1646.0 -208.33080783 -43.0 43.0 8.0
1647.0 498.827850566 98.0 -98.0 -14.0
1648.0 -268.973563992 -50.0 50.0 8.0
1649.0 -240.601489659 -49.0 49.0 8.0
1650.0 500.0 98.0 -98.0 -14.0
1651.0 -241.152089348 -45.0 45.0 8.0
1652.0 -266.8515387 -54.0 54.0 30.0
1653.0 499.182920696 93.0 -93.0 -14.0
1654.0 -217.426968278 -40.0 40.0 4.0
1655.0 -287.502626022 -58.0 58.0 8.0
1656.0 497.34781921 97.0 -97.0 -16.0
1657.0 -198.28558502 -36.0 36.0 -19.0
1658.0 -302.966432132 -56.0 56.0 8.0
1659.0 495.273903187 97.0 -97.0 -16.0
1660.0 -184.062276342 -33.0 33.0 -14.0
1661.0 -313.601057566 -59.0 59.0 8.0
1662.0 493.545789667 97.0 -97.0 30.0
1663.0 -174.972899694 -40.0 40.0 8.0
1664.0 -319.679242773 -65.0 65.0 10.0
1665.0 492.554663077 96.0 -96.0 -16.0
1666.0 -171.141270835 -31.0 31.0 -16.0
1667.0 -321.367064064 -61.0 61.0 8.0
1668.0 492.500552735 96.0 -96.0 -17.0
1669.0 -172.616339492 -31.0 31.0 10.0
1670.0 -318.711994874 -65.0 65.0 4.0
1671.0 493.393968691 97.0 -97.0 8.0
1672.0 -179.379487674 -37.0 37.0 -16.0
1673.0 -311.639624083 -59.0 59.0 26.0
1674.0 495.055996571 93.0 -93.0 8.0
1675.0 -191.341716182 -39.0 39.0 -16.0
1676.0 -299.958825075 -56.0 56.0 30.0
1677.0 497.116804185 93.0 -93.0 10.0
1678.0 -208.33080783 -43.0 43.0 -16.0
1679.0 -283.375698197 -53.0 53.0 8.0
1680.0 499.013364214 98.0 -98.0 8.0
1681.0 -230.068901228 -47.0 47.0 -16.0
1682.0 -261.517095579 -49.0 49.0 8.0
1683.0 499.988057826 98.0 -98.0 8.0
1684.0 -256.141355878 -52.0 52.0 -17.0
1685.0 -233.96490713 -43.0 43.0 8.0
1686.0 499.090693005 98.0 -98.0 6.0
1687.0 -285.958410765 -58.0 58.0 8.0
1688.0 -200.302456846 -41.0 41.0 8.0
1689.0 495.187327 97.0 -97.0 6.0
1690.0 -318.711994874 -64.0 64.0 8.0
1691.0 -160.17423354 -33.0 33.0 8.0
1692.0 486.98007083 95.0 -95.0 -16.0
1693.0 -353.331176672 -67.0 67.0 8.0
1694.0 -113.359651617 -24.0 24.0 8.0
1695.0 473.042679414 93.0 -93.0 -16.0
1696.0 -388.441142088 -74.0 74.0 8.0
1697.0 -59.8604915423 -13.0 13.0 8.0
1698.0 451.877047914 88.0 -88.0 -14.0
1699.0 -422.33221436 -81.0 81.0 8.0
1700.0 6.76364041899e-11 -1.0 1.0 8.0
1701.0 421.995544478 82.0 -82.0 -16.0
1702.0 -452.947146863 -87.0 87.0 6.0
1703.0 65.4707381047 11.0 -11.0 8.0
1704.0 382.033165152 74.0 -74.0 -16.0
1705.0 -477.896507399 -92.0 92.0 4.0
1706.0 135.266618377 26.0 -26.0 8.0
