n	uL	uR	sensor 0	sensor 1	sensor 2	sensor 3	sensor 4	sensor 5	error
99.0	-32.0	32.0	0.0	5.0	844.0	658.0	59.0	0.0	-3.0
100.0	-1.0	1.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
101.0	3.0	-3.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
102.0	3.0	-3.0	0.0	0.0	834.0	653.0	53.0	0.0	-8.0
103.0	-4.0	4.0	0.0	0.0	844.0	658.0	53.0	0.0	-9.0
104.0	-4.0	4.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
105.0	3.0	-3.0	0.0	0.0	834.0	653.0	53.0	0.0	-8.0
106.0	-4.0	4.0	0.0	0.0	844.0	663.0	53.0	0.0	-8.0
107.0	-4.0	4.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
108.0	3.0	-3.0	0.0	0.0	834.0	653.0	53.0	0.0	-8.0
109.0	-4.0	4.0	0.0	0.0	844.0	663.0	53.0	0.0	-8.0
110.0	-4.0	4.0	0.0	0.0	844.0	658.0	53.0	0.0	-9.0
111.0	-4.0	4.0	0.0	0.0	784.0	647.0	48.0	0.0	-48.0
112.0	-24.0	24.0	3.0	5.0	844.0	658.0	59.0	0.0	-3.0
113.0	-1.0	1.0	0.0	0.0	844.0	658.0	53.0	0.0	-9.0
114.0	-4.0	4.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
115.0	3.0	-3.0	0.0	5.0	793.0	663.0	64.0	2.0	20.0
116.0	10.0	-10.0	0.0	0.0	844.0	658.0	53.0	0.0	-9.0
117.0	-4.0	4.0	0.0	0.0	793.0	647.0	48.0	0.0	-51.0
118.0	-25.0	25.0	0.0	0.0	788.0	658.0	53.0	0.0	9.0
119.0	4.0	-4.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
120.0	4.0	-4.0	0.0	0.0	844.0	653.0	48.0	0.0	-64.0
121.0	-32.0	32.0	0.0	0.0	834.0	653.0	53.0	0.0	-8.0
122.0	-4.0	4.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
123.0	3.0	-3.0	0.0	0.0	844.0	663.0	53.0	0.0	-8.0
124.0	-4.0	4.0	0.0	0.0	839.0	653.0	53.0	0.0	-9.0
125.0	-4.0	4.0	0.0	0.0	793.0	658.0	48.0	0.0	-47.0
126.0	-23.0	23.0	0.0	0.0	844.0	663.0	53.0	0.0	-8.0
127.0	-4.0	4.0	0.0	0.0	844.0	653.0	53.0	0.0	-11.0
128.0	-5.0	5.0	3.0	5.0	844.0	663.0	64.0	2.0	3.0
129.0	1.0	-1.0	0.0	0.0	793.0	658.0	48.0	0.0	-47.0
130.0	-23.0	23.0	0.0	0.0	844.0	653.0	53.0	0.0	-11.0
131.0	-5.0	5.0	0.0	5.0	844.0	658.0	59.0	0.0	-3.0
132.0	-1.0	1.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
133.0	4.0	-4.0	0.0	0.0	844.0	653.0	53.0	0.0	-11.0
134.0	-5.0	5.0	0.0	0.0	839.0	602.0	53.0	0.0	-27.0
135.0	-13.0	13.0	0.0	0.0	844.0	658.0	53.0	0.0	-9.0
136.0	-4.0	4.0	0.0	0.0	793.0	653.0	48.0	0.0	-49.0
137.0	-24.0	24.0	0.0	0.0	834.0	653.0	48.0	0.0	-61.0
138.0	-30.0	30.0	0.0	0.0	844.0	658.0	53.0	0.0	-9.0
139.0	-4.0	4.0	0.0	0.0	844.0	663.0	53.0	0.0	-8.0
140.0	-4.0	4.0	0.0	0.0	784.0	647.0	48.0	0.0	-48.0
141.0	-24.0	24.0	0.0	0.0	844.0	658.0	53.0	0.0	-9.0
142.0	-4.0	4.0	0.0	0.0	844.0	658.0	48.0	0.0	-62.0
143.0	-31.0	31.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
144.0	4.0	-4.0	3.0	5.0	798.0	663.0	64.0	2.0	18.0
145.0	9.0	-9.0	0.0	0.0	844.0	658.0	48.0	0.0	-62.0
146.0	-31.0	31.0	0.0	0.0	798.0	653.0	53.0	0.0	4.0
147.0	2.0	-2.0	0.0	11.0	798.0	663.0	64.0	2.0	18.0
148.0	9.0	-9.0	0.0	0.0	844.0	663.0	53.0	0.0	-8.0
149.0	-4.0	4.0	0.0	0.0	844.0	653.0	53.0	0.0	-11.0
150.0	-5.0	5.0	0.0	0.0	788.0	602.0	53.0	0.0	-10.0
151.0	-5.0	5.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
152.0	4.0	-4.0	0.0	0.0	844.0	653.0	53.0	0.0	-11.0
153.0	-5.0	5.0	0.0	0.0	834.0	653.0	53.0	0.0	-8.0
154.0	-4.0	4.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
155.0	4.0	-4.0	0.0	0.0	844.0	663.0	53.0	0.0	-8.0
156.0	-4.0	4.0	0.0	0.0	834.0	647.0	48.0	0.0	-64.0
157.0	-32.0	32.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
158.0	3.0	-3.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
159.0	3.0	-3.0	0.0	0.0	839.0	653.0	53.0	0.0	-9.0
160.0	-4.0	4.0	3.0	5.0	844.0	663.0	64.0	2.0	3.0
161.0	1.0	-1.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
162.0	4.0	-4.0	0.0	0.0	844.0	653.0	53.0	0.0	-11.0
163.0	-5.0	5.0	0.0	11.0	848.0	663.0	64.0	2.0	2.0
164.0	1.0	-1.0	0.0	0.0	793.0	658.0	48.0	0.0	-47.0
165.0	-23.0	23.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
166.0	3.0	-3.0	0.0	0.0	834.0	653.0	53.0	0.0	-8.0
167.0	-4.0	4.0	0.0	0.0	844.0	658.0	53.0	0.0	-9.0
168.0	-4.0	4.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
169.0	3.0	-3.0	0.0	0.0	834.0	653.0	53.0	0.0	-8.0
170.0	-4.0	4.0	0.0	0.0	844.0	658.0	53.0	0.0	-9.0
171.0	-4.0	4.0	0.0	0.0	844.0	658.0	53.0	0.0	-9.0
172.0	-4.0	4.0	0.0	0.0	784.0	653.0	48.0	0.0	-46.0
173.0	-23.0	23.0	0.0	0.0	844.0	658.0	53.0	0.0	-9.0
174.0	-4.0	4.0	0.0	0.0	844.0	658.0	53.0	0.0	-9.0
175.0	-4.0	4.0	0.0	0.0	784.0	653.0	53.0	0.0	9.0
176.0	4.0	-4.0	3.0	5.0	798.0	663.0	64.0	2.0	18.0
177.0	9.0	-9.0	0.0	0.0	844.0	663.0	53.0	0.0	-8.0
178.0	-4.0	4.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
179.0	3.0	-3.0	0.0	5.0	798.0	663.0	64.0	2.0	18.0
180.0	9.0	-9.0	0.0	0.0	844.0	658.0	48.0	0.0	-62.0
181.0	-31.0	31.0	0.0	0.0	844.0	647.0	48.0	0.0	-67.0
182.0	-33.0	33.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
183.0	4.0	-4.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
184.0	3.0	-3.0	0.0	0.0	793.0	653.0	48.0	0.0	-49.0
185.0	-24.0	24.0	0.0	0.0	834.0	647.0	48.0	0.0	-64.0
186.0	-32.0	32.0	0.0	0.0	793.0	658.0	48.0	0.0	-47.0
187.0	-23.0	23.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
188.0	3.0	-3.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
189.0	4.0	-4.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
190.0	3.0	-3.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
191.0	3.0	-3.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
192.0	4.0	-4.0	3.0	5.0	793.0	658.0	59.0	0.0	13.0
193.0	6.0	-6.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
194.0	3.0	-3.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
195.0	3.0	-3.0	0.0	5.0	793.0	663.0	64.0	2.0	20.0
196.0	10.0	-10.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
197.0	3.0	-3.0	0.0	0.0	798.0	653.0	53.0	0.0	4.0
198.0	2.0	-2.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
199.0	4.0	-4.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
200.0	4.0	-4.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
201.0	3.0	-3.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
202.0	4.0	-4.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
203.0	3.0	-3.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
204.0	3.0	-3.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
205.0	4.0	-4.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
206.0	4.0	-4.0	0.0	0.0	793.0	658.0	48.0	0.0	-47.0
207.0	-23.0	23.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
208.0	4.0	-4.0	3.0	5.0	793.0	658.0	59.0	0.0	13.0
209.0	6.0	-6.0	0.0	0.0	798.0	663.0	53.0	0.0	7.0
210.0	3.0	-3.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
211.0	3.0	-3.0	0.0	5.0	798.0	663.0	64.0	2.0	18.0
212.0	9.0	-9.0	0.0	0.0	798.0	663.0	53.0	0.0	7.0
213.0	3.0	-3.0	0.0	0.0	798.0	653.0	53.0	0.0	4.0
214.0	2.0	-2.0	0.0	0.0	784.0	653.0	53.0	0.0	9.0
215.0	4.0	-4.0	0.0	0.0	798.0	663.0	53.0	0.0	7.0
216.0	3.0	-3.0	0.0	0.0	798.0	653.0	53.0	0.0	4.0
217.0	2.0	-2.0	0.0	0.0	839.0	653.0	53.0	0.0	-9.0
218.0	-4.0	4.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
219.0	3.0	-3.0	0.0	0.0	798.0	663.0	53.0	0.0	7.0
220.0	3.0	-3.0	0.0	0.0	784.0	647.0	48.0	0.0	-48.0
221.0	-24.0	24.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
222.0	3.0	-3.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
223.0	3.0	-3.0	0.0	0.0	784.0	653.0	53.0	0.0	9.0
224.0	4.0	-4.0	3.0	5.0	793.0	658.0	59.0	0.0	13.0
225.0	6.0	-6.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
226.0	4.0	-4.0	0.0	0.0	798.0	653.0	53.0	0.0	4.0
227.0	2.0	-2.0	0.0	5.0	793.0	663.0	64.0	2.0	20.0
228.0	10.0	-10.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
229.0	3.0	-3.0	0.0	0.0	798.0	653.0	53.0	0.0	4.0
230.0	2.0	-2.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
231.0	4.0	-4.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
232.0	3.0	-3.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
233.0	3.0	-3.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
234.0	4.0	-4.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
235.0	4.0	-4.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
236.0	3.0	-3.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
237.0	4.0	-4.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
238.0	3.0	-3.0	0.0	0.0	798.0	663.0	53.0	0.0	7.0
239.0	3.0	-3.0	0.0	0.0	784.0	653.0	53.0	0.0	9.0
240.0	4.0	-4.0	3.0	5.0	793.0	658.0	59.0	0.0	13.0
241.0	6.0	-6.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
242.0	4.0	-4.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
243.0	3.0	-3.0	0.0	11.0	798.0	663.0	64.0	2.0	18.0
244.0	9.0	-9.0	0.0	0.0	798.0	663.0	53.0	0.0	7.0
