n	R (ref)	uL	uR	sensor 0	sensor 1	sensor 2	sensor 3	sensor 4	sensor 5	error
68.0	422.137333407	-71.0	71.0	0.0	0.0	387.0	827.0	35.0	0.0	181.0
69.0	433.806910303	-75.0	75.0	0.0	0.0	377.0	886.0	39.0	0.0	201.0
70.0	445.572922377	-73.0	73.0	0.0	0.0	377.0	875.0	35.0	0.0	198.0
71.0	457.430092592	-77.0	77.0	0.0	0.0	387.0	886.0	43.0	4.0	195.0
72.0	469.372933665	-82.0	82.0	0.0	0.0	321.0	940.0	35.0	0.0	245.0
73.0	481.395744113	-70.0	70.0	0.0	0.0	321.0	945.0	35.0	0.0	246.0
74.0	493.492604429	-74.0	74.0	6.0	7.0	331.0	945.0	43.0	4.0	240.0
75.0	505.657373378	-79.0	79.0	0.0	0.0	321.0	940.0	35.0	0.0	245.0
76.0	517.883684445	-81.0	81.0	0.0	0.0	265.0	945.0	35.0	0.0	280.0
77.0	530.164942432	-75.0	75.0	6.0	7.0	275.0	945.0	39.0	0.0	274.0
78.0	542.494320227	-80.0	80.0	0.0	0.0	270.0	945.0	35.0	0.0	277.0
79.0	554.864755756	-83.0	83.0	0.0	0.0	265.0	1000.0	35.0	0.0	290.0
80.0	567.268949127	-83.0	83.0	0.0	0.0	214.0	1000.0	35.0	0.0	323.0
81.0	579.69935998	-76.0	76.0	0.0	0.0	214.0	1000.0	79.0	0.0	395.0
82.0	592.148205068	-59.0	59.0	0.0	0.0	214.0	1000.0	79.0	0.0	395.0
83.0	604.607456071	-62.0	62.0	0.0	0.0	209.0	1000.0	79.0	0.0	399.0
84.0	617.068837657	-65.0	65.0	0.0	0.0	168.0	1000.0	87.0	0.0	435.0
85.0	629.523825818	-58.0	58.0	0.0	0.0	214.0	1000.0	79.0	0.0	395.0
86.0	641.963646488	-73.0	73.0	0.0	0.0	158.0	1000.0	79.0	0.0	436.0
87.0	654.379274455	-65.0	65.0	0.0	0.0	163.0	1000.0	83.0	0.0	435.0
88.0	666.761432588	-69.0	69.0	0.0	0.0	158.0	1000.0	79.0	0.0	436.0
89.0	679.1005914	-72.0	72.0	0.0	0.0	153.0	1000.0	75.0	0.0	436.0
90.0	691.386968955	-76.0	76.0	6.0	7.0	163.0	1000.0	83.0	4.0	435.0
91.0	703.610531137	-80.0	80.0	0.0	0.0	158.0	1000.0	79.0	0.0	436.0
92.0	715.760992304	-83.0	83.0	0.0	0.0	158.0	1000.0	79.0	0.0	436.0
93.0	727.827816338	-87.0	87.0	6.0	7.0	168.0	1000.0	87.0	4.0	435.0
94.0	739.800218111	-91.0	91.0	0.0	0.0	153.0	1000.0	75.0	0.0	436.0
95.0	751.667165385	-94.0	94.0	0.0	0.0	102.0	1000.0	123.0	0.0	517.0
96.0	763.417381164	-73.0	73.0	0.0	0.0	102.0	994.0	123.0	0.0	517.0
97.0	775.039346508	-77.0	77.0	0.0	0.0	102.0	1000.0	123.0	0.0	517.0
98.0	786.521303843	-80.0	80.0	0.0	0.0	102.0	1000.0	123.0	0.0	517.0
99.0	797.851260766	-84.0	84.0	0.0	0.0	102.0	940.0	166.0	0.0	552.0
100.0	809.016994375	-77.0	77.0	0.0	0.0	51.0	945.0	174.0	0.0	605.0
101.0	820.006056141	-64.0	64.0	0.0	0.0	51.0	891.0	166.0	0.0	603.0
102.0	830.805777329	-68.0	68.0	0.0	0.0	51.0	881.0	206.0	0.0	636.0
103.0	841.403275004	-61.0	61.0	0.0	0.0	51.0	886.0	214.0	4.0	641.0
104.0	851.785458617	-63.0	63.0	0.0	0.0	51.0	886.0	206.0	0.0	635.0
105.0	861.939037204	-67.0	67.0	0.0	0.0	51.0	881.0	206.0	0.0	636.0
106.0	871.850527214	-70.0	70.0	0.0	0.0	56.0	881.0	210.0	4.0	634.0
107.0	881.50626097	-74.0	74.0	0.0	0.0	51.0	886.0	206.0	0.0	635.0
108.0	890.892395792	-76.0	76.0	0.0	0.0	51.0	886.0	206.0	0.0	635.0
109.0	899.994923792	-79.0	79.0	6.0	7.0	56.0	886.0	214.0	4.0	636.0
110.0	908.799682356	-81.0	81.0	0.0	0.0	45.0	821.0	253.0	0.0	735.0
111.0	917.292365325	-54.0	54.0	0.0	0.0	51.0	827.0	250.0	0.0	676.0
112.0	925.458534896	-74.0	74.0	0.0	0.0	51.0	756.0	289.0	0.0	717.0
113.0	933.283634248	-64.0	64.0	0.0	0.0	51.0	762.0	297.0	0.0	721.0
114.0	940.75300091	-65.0	65.0	0.0	0.0	51.0	767.0	293.0	0.0	717.0
115.0	947.851880881	-69.0	69.0	0.0	0.0	51.0	756.0	333.0	0.0	747.0
116.0	954.565443513	-62.0	62.0	0.0	0.0	51.0	708.0	341.0	0.0	763.0
117.0	960.878797164	-59.0	59.0	0.0	0.0	51.0	708.0	337.0	0.0	760.0
118.0	966.777005634	-61.0	61.0	0.0	0.0	45.0	697.0	333.0	0.0	823.0
119.0	972.245105387	-44.0	44.0	0.0	0.0	51.0	708.0	341.0	4.0	763.0
120.0	977.268123568	-64.0	64.0	0.0	0.0	51.0	708.0	341.0	0.0	763.0
121.0	981.831096816	-65.0	65.0	0.0	0.0	51.0	697.0	333.0	0.0	760.0
122.0	985.919090885	-67.0	67.0	6.0	7.0	5.0	708.0	341.0	4.0	825.0
123.0	989.517221057	-49.0	49.0	0.0	0.0	51.0	708.0	341.0	0.0	763.0
124.0	992.610673377	-68.0	68.0	0.0	0.0	51.0	697.0	337.0	0.0	763.0
125.0	995.184726672	-69.0	69.0	6.0	7.0	5.0	708.0	341.0	9.0	825.0
126.0	997.224775382	-51.0	51.0	0.0	0.0	45.0	702.0	337.0	0.0	824.0
127.0	998.71635318	-52.0	52.0	0.0	0.0	0.0	697.0	376.0	0.0	850.0
128.0	999.645157387	-44.0	44.0	0.0	0.0	0.0	697.0	376.0	0.0	850.0
129.0	999.997074157	-44.0	44.0	0.0	0.0	45.0	702.0	380.0	0.0	851.0
130.0	999.758204437	-44.0	44.0	0.0	0.0	51.0	708.0	376.0	0.0	786.0
131.0	998.914890681	-63.0	63.0	0.0	0.0	51.0	697.0	376.0	0.0	789.0
132.0	997.453744304	-62.0	62.0	0.0	0.0	51.0	708.0	384.0	0.0	791.0
133.0	995.361673858	-61.0	61.0	0.0	0.0	51.0	708.0	376.0	0.0	786.0
134.0	992.625913914	-61.0	61.0	0.0	0.0	51.0	697.0	376.0	0.0	789.0
135.0	989.234054614	-60.0	60.0	0.0	0.0	45.0	643.0	380.0	0.0	871.0
136.0	985.174071894	-34.0	34.0	0.0	0.0	51.0	648.0	384.0	0.0	807.0
137.0	980.434358317	-51.0	51.0	0.0	0.0	51.0	697.0	376.0	0.0	789.0
138.0	975.003754511	-55.0	55.0	6.0	7.0	5.0	648.0	384.0	4.0	872.0
139.0	968.871581173	-28.0	28.0	0.0	0.0	51.0	648.0	384.0	0.0	807.0
140.0	962.027671586	-46.0	46.0	0.0	0.0	51.0	697.0	376.0	0.0	789.0
141.0	954.462404638	-49.0	49.0	6.0	7.0	5.0	648.0	384.0	4.0	872.0
142.0	946.166738273	-22.0	22.0	0.0	0.0	45.0	643.0	380.0	0.0	871.0
143.0	937.13224335	-19.0	19.0	0.0	0.0	51.0	697.0	376.0	0.0	789.0
144.0	927.351137845	-41.0	41.0	0.0	0.0	0.0	643.0	380.0	0.0	871.0
145.0	916.816321352	-13.0	13.0	0.0	0.0	51.0	648.0	384.0	0.0	807.0
146.0	905.521409831	-29.0	29.0	0.0	0.0	45.0	702.0	376.0	0.0	848.0
147.0	893.460770537	-13.0	13.0	0.0	0.0	51.0	697.0	376.0	0.0	789.0
148.0	880.629557068	-27.0	27.0	0.0	0.0	51.0	648.0	384.0	0.0	807.0
149.0	867.023744474	-18.0	18.0	0.0	0.0	0.0	643.0	376.0	0.0	868.0
150.0	852.640164354	4.0	-4.0	0.0	0.0	51.0	697.0	376.0	0.0	789.0
151.0	837.476539869	-14.0	14.0	0.0	0.0	51.0	648.0	384.0	4.0	807.0
152.0	821.531520589	-4.0	4.0	0.0	0.0	51.0	643.0	380.0	0.0	806.0
153.0	804.804717114	0.0	0.0	0.0	0.0	51.0	697.0	376.0	0.0	789.0
154.0	787.296735363	0.0	0.0	0.0	0.0	0.0	643.0	380.0	4.0	871.0
155.0	769.009210463	30.0	-30.0	0.0	0.0	51.0	648.0	384.0	0.0	807.0
156.0	749.944840142	17.0	-17.0	0.0	0.0	51.0	697.0	376.0	0.0	789.0
157.0	730.107417533	17.0	-17.0	6.0	7.0	5.0	708.0	341.0	4.0	825.0
158.0	709.5018633	34.0	-34.0	0.0	0.0	51.0	708.0	341.0	0.0	763.0
159.0	688.134256978	22.0	-22.0	0.0	0.0	45.0	697.0	333.0	0.0	823.0
160.0	666.011867434	46.0	-46.0	0.0	0.0	51.0	697.0	333.0	0.0	760.0
161.0	643.143182342	34.0	-34.0	0.0	0.0	45.0	762.0	297.0	0.0	780.0
162.0	619.537936563	48.0	-48.0	0.0	0.0	45.0	762.0	289.0	0.0	774.0
163.0	595.207139321	53.0	-53.0	0.0	0.0	51.0	816.0	293.0	0.0	708.0
164.0	570.163100068	41.0	-41.0	0.0	0.0	45.0	821.0	253.0	0.0	735.0
165.0	544.419452912	57.0	-57.0	0.0	0.0	45.0	821.0	250.0	0.0	733.0
166.0	517.991179504	64.0	-64.0	0.0	0.0	51.0	816.0	250.0	0.0	678.0
167.0	490.894630259	56.0	-56.0	0.0	0.0	51.0	827.0	253.0	4.0	678.0
168.0	463.147543782	64.0	-64.0	0.0	0.0	45.0	821.0	246.0	0.0	730.0
169.0	434.769064404	88.0	-88.0	0.0	0.0	51.0	816.0	250.0	0.0	678.0
170.0	405.779757666	81.0	-81.0	6.0	7.0	56.0	827.0	257.0	4.0	676.0
171.0	376.201623662	89.0	-89.0	0.0	0.0	51.0	827.0	250.0	0.0	676.0
172.0	346.058108094	98.0	-98.0	0.0	0.0	51.0	886.0	206.0	0.0	635.0
173.0	315.374110927	95.0	-95.0	0.0	0.0	56.0	886.0	210.0	4.0	633.0
174.0	284.175992505	104.0	-104.0	0.0	0.0	51.0	945.0	166.0	0.0	598.0
175.0	252.491577015	103.0	-103.0	0.0	0.0	102.0	940.0	162.0	0.0	549.0
176.0	220.35015317	98.0	-98.0	0.0	0.0	102.0	1000.0	123.0	0.0	517.0
177.0	187.782471981	98.0	-98.0	0.0	0.0	102.0	1000.0	123.0	0.0	517.0
178.0	154.82074151	108.0	-108.0	0.0	0.0	158.0	1000.0	79.0	0.0	436.0
179.0	121.498618469	94.0	-94.0	0.0	0.0	158.0	1000.0	79.0	0.0	436.0
180.0	87.8511965507	104.0	-104.0	0.0	0.0	163.0	1000.0	83.0	0.0	435.0
181.0	53.9149913833	114.0	-114.0	0.0	0.0	214.0	1000.0	79.0	0.0	395.0
182.0	19.7279219857	112.0	-112.0	0.0	0.0	270.0	994.0	35.0	0.0	286.0
183.0	-14.670711379	90.0	-90.0	0.0	0.0	275.0	940.0	39.0	0.0	273.0
184.0	-49.2402530598	96.0	-96.0	0.0	0.0	377.0	886.0	35.0	0.0	201.0
185.0	-83.9387216822	85.0	-85.0	0.0	0.0	377.0	875.0	35.0	0.0	198.0
186.0	-118.722843717	94.0	-94.0	6.0	7.0	438.0	821.0	39.0	0.0	152.0
187.0	-153.548091042	91.0	-91.0	0.0	77.0	494.0	767.0	35.0	0.0	15.0
188.0	-188.368722583	60.0	-60.0	0.0	69.0	535.0	691.0	35.0	0.0	-20.0
189.0	-223.137830101	60.0	-60.0	6.0	7.0	551.0	648.0	3.0	4.0	40.0
190.0	-257.807388214	89.0	-89.0	0.0	77.0	545.0	643.0	35.0	0.0	-53.0
191.0	-292.328308688	71.0	-71.0	0.0	69.0	591.0	632.0	35.0	0.0	-65.0
192.0	-326.650499076	78.0	-78.0	0.0	69.0	591.0	632.0	0.0	0.0	-65.0
193.0	-360.722925728	88.0	-88.0	0.0	77.0	602.0	643.0	35.0	0.0	-72.0
194.0	-394.49368122	96.0	-96.0	0.0	69.0	591.0	572.0	0.0	0.0	-92.0
195.0	-427.910056219	100.0	-100.0	0.0	69.0	647.0	572.0	0.0	0.0	-110.0
196.0	-460.918615794	105.0	-105.0	0.0	77.0	663.0	529.0	0.0	0.0	-144.0
197.0	-493.465280183	104.0	-104.0	0.0	69.0	714.0	518.0	0.0	0.0	-155.0
198.0	-525.495409996	111.0	-111.0	0.0	77.0	709.0	464.0	0.0	0.0	-191.0
199.0	-556.953895834	109.0	-109.0	0.0	69.0	775.0	410.0	0.0	4.0	-229.0
200.0	-587.785252292	107.0	-107.0	0.0	77.0	831.0	405.0	0.0	0.0	-251.0
201.0	-617.933716285	109.0	-109.0	0.0	77.0	887.0	345.0	0.0	0.0	-296.0
202.0	-647.343349637	105.0	-105.0	6.0	85.0	887.0	297.0	0.0	4.0	-333.0
203.0	-675.958145861	102.0	-102.0	0.0	69.0	887.0	286.0	0.0	0.0	-326.0
204.0	-703.722141018	113.0	-113.0	0.0	77.0	943.0	291.0	0.0	0.0	-337.0
205.0	-730.579528559	117.0	-117.0	6.0	85.0	1000.0	243.0	0.0	0.0	-382.0
206.0	-756.474778016	112.0	-112.0	0.0	155.0	1000.0	232.0	0.0	0.0	-445.0
207.0	-781.352757393	100.0	-100.0	0.0	155.0	1000.0	172.0	0.0	0.0	-488.0
208.0	-805.158859108	95.0	-95.0	0.0	155.0	1000.0	172.0	0.0	0.0	-488.0
209.0	-827.839129293	101.0	-101.0	0.0	155.0	1000.0	172.0	0.0	0.0	-488.0
210.0	-849.340400263	108.0	-108.0	0.0	155.0	1000.0	172.0	0.0	0.0	-488.0
211.0	-869.610425944	114.0	-114.0	0.0	155.0	1000.0	113.0	0.0	0.0	-534.0
212.0	-888.598020008	106.0	-106.0	0.0	248.0	1000.0	113.0	0.0	0.0	-600.0
213.0	-906.253196485	91.0	-91.0	0.0	232.0	1000.0	108.0	0.0	0.0	-593.0
214.0	-922.527312567	98.0	-98.0	0.0	232.0	1000.0	108.0	0.0	0.0	-593.0
215.0	-937.373213319	103.0	-103.0	0.0	255.0	1000.0	59.0	0.0	4.0	-650.0
216.0	-950.74537799	90.0	-90.0	0.0	325.0	1000.0	59.0	0.0	0.0	-693.0
